fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-24,landsat-8,51.61,LC08_L2SP_232089_20260324_02_T1,ok,ok,ok,2026-04-04 18:35,L2
2026-03-23,landsat-9,70.55,LC09_L2SP_233089_20260323_02_T2,ok,ok,ok,2026-04-04 18:35,L2
2026-03-16,landsat-9,89.63,LC09_L2SP_232089_20260316_02_T1,ok,ok,ok,2026-04-04 18:35,L2
2026-03-08,landsat-8,12.22,LC08_L2SP_232089_20260308_02_T1,ok,ok,ok,2026-04-04 18:36,L2
2026-03-07,landsat-9,99.07,LC09_L2SP_233089_20260307_02_T1,ok,ok,ok,2026-04-04 18:36,L2
2026-02-28,landsat-9,72.86,LC09_L2SP_232089_20260228_02_T1,ok,ok,ok,2026-04-04 18:36,L2
2026-02-27,landsat-8,99.34,LC08_L2SP_233089_20260227_02_T2,ok,ok,ok,2026-04-04 18:36,L2
2026-02-20,landsat-8,8.77,LC08_L2SP_232089_20260220_02_T1,ok,ok,ok,2026-04-04 18:36,L2
2026-02-19,landsat-9,3.46,LC09_L2SP_233089_20260219_02_T1,ok,ok,ok,2026-04-04 18:36,L2
2026-02-12,landsat-9,42.47,LC09_L2SP_232089_20260212_02_T1,ok,ok,ok,2026-04-04 18:37,L2
2026-02-11,landsat-8,94.47,LC08_L2SP_233089_20260211_02_T1,ok,ok,ok,2026-04-04 18:37,L2
2026-02-04,landsat-8,61.17,LC08_L2SP_232089_20260204_02_T1,ok,ok,ok,2026-04-04 18:37,L2
2026-02-03,landsat-9,96.91,LC09_L2SP_233089_20260203_02_T2,ok,ok,ok,2026-04-04 18:37,L2
2026-02-03,landsat-9,96.91,LC09_L2SP_233089_20260203_02_T2,ok,ok,ok,2026-04-04 22:46,L2
2026-02-04,landsat-8,61.17,LC08_L2SP_232089_20260204_02_T1,ok,ok,ok,2026-04-05 05:44,L2
2026-04-08,landsat-9,25.63,LC09_L2SP_233089_20260408_02_T1,ok,ok,ok,2026-04-09 20:41,L2
2026-05-03,landsat-9,82.2,LC09_L2SP_232089_20260503_02_T1,ok,ok,ok,2026-05-05 11:10,L2
2026-04-24,landsat-9,59.73,LC09_L2SP_233089_20260424_02_T1,ok,ok,ok,2026-05-20 12:18,L2
2026-04-25,Landsat 8,76.61,LC08_L1TP_232089_20260425_20260426_02_T1,ok,ok,ok,2026-05-22 12:14,L1
2026-05-19,LC09_L2SP_232089_20260519_20260520_02_T1,2,LC09_L2SP_232089_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 16:53,L2
2026-05-11,LC08_L2SP_232089_20260511_20260515_02_T1,30,LC08_L2SP_232089_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 16:53,L2
2026-05-10,LC09_L2SP_233089_20260510_20260511_02_T1,4,LC09_L2SP_233089_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:53,L2
2026-05-02,LC08_L2SP_233089_20260502_20260514_02_T1,75,LC08_L2SP_233089_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:54,L2
2026-05-26,LC09_L2SP_233089_20260526_20260527_02_T1,25,LC09_L2SP_233089_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:06,L2
2026-05-18,LC08_L2SP_233089_20260518_20260528_02_T1,13,LC08_L2SP_233089_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:56,L2
2026-05-27,LC08_L2SP_232089_20260527_20260604_02_T1,43,LC08_L2SP_232089_20260527_20260604_02_T1,ok,ok,ok,2026-06-05 09:09,L2
2026-06-04,LC09_L2SP_232089_20260604_20260605_02_T1,23,LC09_L2SP_232089_20260604_20260605_02_T1,ok,ok,ok,2026-06-07 21:02,L2
2026-06-11,LC09_L1GT_233089_20260611_20260611_02_T2,78,LC09_L1GT_233089_20260611_20260611_02_T2,ok,ok,ok,2026-06-12 19:14,L1
2026-06-03,LC08_L1TP_233089_20260603_20260603_02_RT,24,LC08_L1TP_233089_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 19:14,L1
2026-06-12,LC08_L1TP_232089_20260612_20260612_02_RT,58,LC08_L1TP_232089_20260612_20260612_02_RT,ok,ok,ok,2026-06-12 21:10,L1
2026-06-03,LC08_L2SP_233089_20260603_20260612_02_T1,24,LC08_L2SP_233089_20260603_20260612_02_T1,ok,ok,ok,2026-06-13 13:34,L2
2026-06-11,LC09_L2SP_233089_20260611_20260613_02_T2,78,LC09_L2SP_233089_20260611_20260613_02_T2,ok,ok,ok,2026-06-13 23:17,L2
2026-06-12,LC08_L2SP_232089_20260612_20260618_02_T1,58,LC08_L2SP_232089_20260612_20260618_02_T1,ok,ok,ok,2026-06-18 22:59,L2
2026-06-19,LC08_L1GT_233089_20260619_20260619_02_RT,100,LC08_L1GT_233089_20260619_20260619_02_RT,ok,ok,ok,2026-06-20 10:07,L1
2026-06-20,LC09_L1TP_232089_20260620_20260620_02_T1,75,LC09_L1TP_232089_20260620_20260620_02_T1,ok,ok,ok,2026-06-20 21:10,L1
2026-06-20,LC09_L2SP_232089_20260620_20260623_02_T1,75,LC09_L2SP_232089_20260620_20260623_02_T1,ok,ok,ok,2026-06-23 10:38,L2
2026-06-27,LC09_L1TP_233089_20260627_20260627_02_T1,16,LC09_L1TP_233089_20260627_20260627_02_T1,ok,ok,ok,2026-06-28 17:05,L1
2026-06-19,LC08_L2SP_233089_20260619_20260627_02_T2,100,LC08_L2SP_233089_20260619_20260627_02_T2,ok,ok,ok,2026-06-28 22:58,L2
2026-06-27,LC09_L2SP_233089_20260627_20260628_02_T1,16,LC09_L2SP_233089_20260627_20260628_02_T1,ok,ok,ok,2026-06-29 00:08,L2
2026-06-28,LC08_L1TP_232089_20260628_20260628_02_RT,78,LC08_L1TP_232089_20260628_20260628_02_RT,ok,ok,ok,2026-06-29 07:34,L1
2026-07-05,LC08_L1TP_233089_20260705_20260705_02_RT,55,LC08_L1TP_233089_20260705_20260705_02_RT,ok,ok,ok,2026-07-06 11:29,L1
2026-07-06,LC09_L1GT_232089_20260706_20260706_02_T2,100,LC09_L1GT_232089_20260706_20260706_02_T2,ok,ok,ok,2026-07-07 07:39,L1
2026-07-06,LC09_L2SP_232089_20260706_20260707_02_T2,100,LC09_L2SP_232089_20260706_20260707_02_T2,ok,ok,ok,2026-07-08 00:02,L2
2026-06-28,LC08_L2SP_232089_20260628_20260707_02_T1,78,LC08_L2SP_232089_20260628_20260707_02_T1,ok,ok,ok,2026-07-08 20:33,L2
