fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-24,landsat-8,43.75,LC08_L2SP_232088_20260324_02_T1,ok,ok,ok,2026-04-04 22:43,L2
2026-03-23,landsat-9,82.41,LC09_L2SP_233088_20260323_02_T2,ok,ok,ok,2026-04-04 22:43,L2
2026-03-16,landsat-9,88.6,LC09_L2SP_232088_20260316_02_T1,ok,ok,ok,2026-04-04 22:43,L2
2026-03-08,landsat-8,1.81,LC08_L2SP_232088_20260308_02_T1,ok,ok,ok,2026-04-04 22:43,L2
2026-03-07,landsat-9,81.95,LC09_L2SP_233088_20260307_02_T1,ok,ok,ok,2026-04-04 22:43,L2
2026-02-28,landsat-9,87.7,LC09_L2SP_232088_20260228_02_T1,ok,ok,ok,2026-04-04 22:43,L2
2026-02-27,landsat-8,83.24,LC08_L2SP_233088_20260227_02_T2,ok,ok,ok,2026-04-04 22:44,L2
2026-02-20,landsat-8,2.25,LC08_L2SP_232088_20260220_02_T1,ok,ok,ok,2026-04-04 22:44,L2
2026-02-19,landsat-9,1.28,LC09_L2SP_233088_20260219_02_T1,ok,ok,ok,2026-04-04 22:44,L2
2026-02-12,landsat-9,16.87,LC09_L2SP_232088_20260212_02_T1,ok,ok,ok,2026-04-04 22:44,L2
2026-02-11,landsat-8,95.94,LC08_L2SP_233088_20260211_02_T2,ok,ok,ok,2026-04-04 22:44,L2
2026-02-04,landsat-8,97.81,LC08_L2SP_232088_20260204_02_T2,ok,ok,ok,2026-04-04 22:44,L2
2026-02-03,landsat-9,96.57,LC09_L2SP_233088_20260203_02_T2,ok,ok,ok,2026-04-04 22:44,L2
2026-02-04,landsat-8,97.81,LC08_L2SP_232088_20260204_02_T2,ok,ok,ok,2026-04-05 05:44,L2
2026-04-08,landsat-9,39.32,LC09_L2SP_233088_20260408_02_T1,ok,ok,ok,2026-04-09 20:40,L2
2026-04-24,landsat-9,82.08,LC09_L2SP_233088_20260424_02_T1,ok,ok,ok,2026-05-20 12:18,L2
2026-04-25,Landsat 8,46.3,LC08_L1TP_232088_20260425_20260502_02_T1,ok,ok,ok,2026-05-22 12:13,L1
2026-05-19,LC09_L2SP_232088_20260519_20260520_02_T1,2,LC09_L2SP_232088_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 16:49,L2
2026-05-11,LC08_L2SP_232088_20260511_20260515_02_T1,5,LC08_L2SP_232088_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 16:49,L2
2026-05-10,LC09_L2SP_233088_20260510_20260511_02_T1,14,LC09_L2SP_233088_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:49,L2
2026-05-03,LC09_L2SP_232088_20260503_20260504_02_T1,88,LC09_L2SP_232088_20260503_20260504_02_T1,ok,ok,ok,2026-05-26 16:50,L2
2026-05-02,LC08_L2SP_233088_20260502_20260514_02_T1,49,LC08_L2SP_233088_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:50,L2
2026-05-26,LC09_L2SP_233088_20260526_20260527_02_T1,22,LC09_L2SP_233088_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:05,L2
2026-05-18,LC08_L2SP_233088_20260518_20260528_02_T1,34,LC08_L2SP_233088_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:55,L2
2026-05-27,LC08_L2SP_232088_20260527_20260604_02_T1,97,LC08_L2SP_232088_20260527_20260604_02_T1,ok,ok,ok,2026-06-05 09:08,L2
2026-06-04,LC09_L2SP_232088_20260604_20260605_02_T1,70,LC09_L2SP_232088_20260604_20260605_02_T1,ok,ok,ok,2026-06-07 21:01,L2
2026-06-11,LC09_L1GT_233088_20260611_20260611_02_T2,100,LC09_L1GT_233088_20260611_20260611_02_T2,ok,ok,ok,2026-06-12 19:13,L1
2026-06-03,LC08_L1TP_233088_20260603_20260603_02_RT,23,LC08_L1TP_233088_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 19:13,L1
2026-06-12,LC08_L1TP_232088_20260612_20260612_02_RT,69,LC08_L1TP_232088_20260612_20260612_02_RT,ok,ok,ok,2026-06-12 21:09,L1
2026-06-03,LC08_L2SP_233088_20260603_20260612_02_T1,23,LC08_L2SP_233088_20260603_20260612_02_T1,ok,ok,ok,2026-06-13 13:33,L2
2026-06-11,LC09_L2SP_233088_20260611_20260613_02_T2,100,LC09_L2SP_233088_20260611_20260613_02_T2,ok,ok,ok,2026-06-13 23:16,L2
2026-06-12,LC08_L2SP_232088_20260612_20260618_02_T1,69,LC08_L2SP_232088_20260612_20260618_02_T1,ok,ok,ok,2026-06-19 11:23,L2
2026-06-19,LC08_L1GT_233088_20260619_20260619_02_RT,100,LC08_L1GT_233088_20260619_20260619_02_RT,ok,ok,ok,2026-06-19 21:08,L1
2026-06-20,LC09_L1TP_232088_20260620_20260620_02_T1,57,LC09_L1TP_232088_20260620_20260620_02_T1,ok,ok,ok,2026-06-20 21:09,L1
2026-06-20,LC09_L2SP_232088_20260620_20260623_02_T1,57,LC09_L2SP_232088_20260620_20260623_02_T1,ok,ok,ok,2026-06-23 10:37,L2
2026-06-27,LC09_L1TP_233088_20260627_20260627_02_T1,30,LC09_L1TP_233088_20260627_20260627_02_T1,ok,ok,ok,2026-06-28 17:04,L1
2026-06-19,LC08_L2SP_233088_20260619_20260627_02_T2,100,LC08_L2SP_233088_20260619_20260627_02_T2,ok,ok,ok,2026-06-28 22:57,L2
2026-06-27,LC09_L2SP_233088_20260627_20260628_02_T1,30,LC09_L2SP_233088_20260627_20260628_02_T1,ok,ok,ok,2026-06-29 00:08,L2
2026-06-28,LC08_L1TP_232088_20260628_20260628_02_RT,77,LC08_L1TP_232088_20260628_20260628_02_RT,ok,ok,ok,2026-06-29 07:32,L1
2026-07-05,LC08_L1TP_233088_20260705_20260705_02_RT,26,LC08_L1TP_233088_20260705_20260705_02_RT,ok,ok,ok,2026-07-06 11:28,L1
2026-07-06,LC09_L1TP_232088_20260706_20260706_02_T1,100,LC09_L1TP_232088_20260706_20260706_02_T1,ok,ok,ok,2026-07-07 07:38,L1
2026-07-06,LC09_L2SP_232088_20260706_20260707_02_T1,100,LC09_L2SP_232088_20260706_20260707_02_T1,ok,ok,ok,2026-07-08 00:01,L2
2026-06-28,LC08_L2SP_232088_20260628_20260707_02_T1,77,LC08_L2SP_232088_20260628_20260707_02_T1,ok,ok,ok,2026-07-08 20:32,L2
2026-07-13,LC09_L1TP_233088_20260713_20260713_02_T1,100,LC09_L1TP_233088_20260713_20260713_02_T1,ok,ok,ok,2026-07-14 07:11,L1
2026-07-13,LC09_L2SP_233088_20260713_20260714_02_T1,100,LC09_L2SP_233088_20260713_20260714_02_T1,ok,ok,ok,2026-07-14 13:12,L2
2026-07-14,LC08_L1TP_232088_20260714_20260714_02_RT,100,LC08_L1TP_232088_20260714_20260714_02_RT,ok,ok,ok,2026-07-14 21:51,L1
2026-07-05,LC08_L2SP_233088_20260705_20260716_02_T1,26,LC08_L2SP_233088_20260705_20260716_02_T1,ok,ok,ok,2026-07-17 21:16,L2
2026-07-21,LC08_L1TP_233088_20260721_20260721_02_RT,18,LC08_L1TP_233088_20260721_20260721_02_RT,ok,ok,ok,2026-07-22 07:37,L1
2026-07-22,LC09_L1GT_232088_20260722_20260722_02_T2,100,LC09_L1GT_232088_20260722_20260722_02_T2,ok,ok,ok,2026-07-23 05:12,L1
2026-07-14,LC08_L2SP_232088_20260714_20260722_02_T1,100,LC08_L2SP_232088_20260714_20260722_02_T1,ok,ok,ok,2026-07-23 05:13,L2
2026-07-22,LC09_L2SP_232088_20260722_20260723_02_T2,100,LC09_L2SP_232088_20260722_20260723_02_T2,ok,ok,ok,2026-07-23 16:34,L2
2026-07-21,LC08_L2SP_233088_20260721_20260725_02_T1,18,LC08_L2SP_233088_20260721_20260725_02_T1,ok,ok,ok,2026-07-26 13:01,L2
2026-07-29,LC09_L1TP_233088_20260729_20260729_02_T2,100,LC09_L1TP_233088_20260729_20260729_02_T2,ok,ok,ok,2026-07-30 07:35,L1
2026-07-29,LC09_L2SP_233088_20260729_20260730_02_T2,100,LC09_L2SP_233088_20260729_20260730_02_T2,ok,ok,ok,2026-07-30 15:09,L2
2026-07-30,LC08_L1GT_232088_20260730_20260730_02_RT,100,LC08_L1GT_232088_20260730_20260730_02_RT,ok,ok,ok,2026-07-30 20:18,L1
2026-08-06,LC08_L1TP_233088_20260806_20260806_02_RT,73,LC08_L1TP_233088_20260806_20260806_02_RT,ok,ok,ok,2026-08-06 22:48,L1
2026-08-07,LC09_L1GT_232088_20260807_20260807_02_T2,100,LC09_L1GT_232088_20260807_20260807_02_T2,ok,ok,ok,2026-08-08 05:40,L1
2026-08-07,LC09_L2SP_232088_20260807_20260808_02_T2,100,LC09_L2SP_232088_20260807_20260808_02_T2,ok,ok,ok,2026-08-08 20:23,L2
2026-07-30,LC08_L2SP_232088_20260730_20260811_02_T2,100,LC08_L2SP_232088_20260730_20260811_02_T2,ok,ok,ok,2026-08-12 05:34,L2
2026-08-06,LC08_L2SP_233088_20260806_20260812_02_T1,73,LC08_L2SP_233088_20260806_20260812_02_T1,ok,ok,ok,2026-08-13 10:09,L2
2026-08-14,LC09_L1GT_233088_20260814_20260814_02_T2,66,LC09_L1GT_233088_20260814_20260814_02_T2,ok,ok,ok,2026-08-14 22:19,L1
2026-08-14,LC09_L2SP_233088_20260814_20260815_02_T2,66,LC09_L2SP_233088_20260814_20260815_02_T2,ok,ok,ok,2026-08-15 17:19,L2
2026-08-15,LC08_L1GT_232088_20260815_20260815_02_RT,83,LC08_L1GT_232088_20260815_20260815_02_RT,ok,ok,ok,2026-08-16 07:30,L1
2026-08-22,LC08_L1TP_233088_20260822_20260822_02_RT,12,LC08_L1TP_233088_20260822_20260822_02_RT,ok,ok,ok,2026-08-23 07:33,L1
2026-08-23,LC09_L1TP_232088_20260823_20260823_02_T1,66,LC09_L1TP_232088_20260823_20260823_02_T1,ok,ok,ok,2026-08-23 23:17,L1
2026-08-15,LC08_L2SP_232088_20260815_20260823_02_T2,83,LC08_L2SP_232088_20260815_20260823_02_T2,ok,ok,ok,2026-08-24 16:34,L2
2026-08-23,LC09_L2SP_232088_20260823_20260824_02_T1,66,LC09_L2SP_232088_20260823_20260824_02_T1,ok,ok,ok,2026-08-24 20:27,L2
2026-08-30,LC09_L1GT_233088_20260830_20260830_02_T2,100,LC09_L1GT_233088_20260830_20260830_02_T2,ok,ok,ok,2026-08-31 09:05,L1
2026-08-30,LC09_L2SP_233088_20260830_20260831_02_T2,100,LC09_L2SP_233088_20260830_20260831_02_T2,ok,ok,ok,2026-08-31 16:45,L2
2026-08-31,LC08_L1TP_232088_20260831_20260831_02_RT,51,LC08_L1TP_232088_20260831_20260831_02_RT,ok,ok,ok,2026-08-31 21:48,L1
