fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-24,landsat-8,74.68,LC08_L2SP_232090_20260324_02_T1,ok,ok,ok,2026-04-04 22:49
2026-03-23,landsat-9,34.65,LC09_L2SP_233090_20260323_02_T2,ok,ok,ok,2026-04-04 22:49
2026-03-16,landsat-9,96.96,LC09_L2SP_232090_20260316_02_T2,ok,ok,ok,2026-04-04 22:49
2026-03-08,landsat-8,38.55,LC08_L2SP_232090_20260308_02_T1,ok,ok,ok,2026-04-04 22:49
2026-03-07,landsat-9,98.27,LC09_L2SP_233090_20260307_02_T1,ok,ok,ok,2026-04-04 22:49
2026-02-28,landsat-9,86.52,LC09_L2SP_232090_20260228_02_T1,ok,ok,ok,2026-04-04 22:49
2026-02-27,landsat-8,99.96,LC08_L2SP_233090_20260227_02_T2,ok,ok,ok,2026-04-04 22:49
2026-02-20,landsat-8,19.12,LC08_L2SP_232090_20260220_02_T1,ok,ok,ok,2026-04-04 22:49
2026-02-19,landsat-9,76.07,LC09_L2SP_233090_20260219_02_T1,ok,ok,ok,2026-04-04 22:49
2026-02-12,landsat-9,57.44,LC09_L2SP_232090_20260212_02_T1,ok,ok,ok,2026-04-04 22:49
2026-02-11,landsat-8,60.8,LC08_L2SP_233090_20260211_02_T1,ok,ok,ok,2026-04-04 22:50
2026-02-04,landsat-8,69.27,LC08_L2SP_232090_20260204_02_T1,ok,ok,ok,2026-04-04 22:50
2026-02-03,landsat-9,95.0,LC09_L2SP_233090_20260203_02_T2,ok,ok,ok,2026-04-04 22:50
