fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-24,landsat-8,20.08,LC08_L2SP_232086_20260324_02_T1,ok,ok,ok,2026-04-04 22:37
2026-03-23,landsat-9,2.63,LC09_L2SP_233086_20260323_02_T1,ok,ok,ok,2026-04-04 22:37
2026-03-16,landsat-9,14.69,LC09_L2SP_232086_20260316_02_T1,ok,ok,ok,2026-04-04 22:37
2026-03-08,landsat-8,2.45,LC08_L2SP_232086_20260308_02_T1,ok,ok,ok,2026-04-04 22:37
2026-03-07,landsat-9,17.51,LC09_L2SP_233086_20260307_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-28,landsat-9,38.08,LC09_L2SP_232086_20260228_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-27,landsat-8,39.81,LC08_L2SP_233086_20260227_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-20,landsat-8,48.47,LC08_L2SP_232086_20260220_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-19,landsat-9,0.08,LC09_L2SP_233086_20260219_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-12,landsat-9,3.06,LC09_L2SP_232086_20260212_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-11,landsat-8,20.42,LC08_L2SP_233086_20260211_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-04,landsat-8,81.78,LC08_L2SP_232086_20260204_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-03,landsat-9,85.84,LC09_L2SP_233086_20260203_02_T1,ok,ok,ok,2026-04-04 22:37
2026-02-04,landsat-8,81.78,LC08_L2SP_232086_20260204_02_T1,ok,ok,ok,2026-04-05 05:43
