fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-24,landsat-8,15.34,LC08_L2SP_232085_20260324_02_T1,ok,ok,ok,2026-04-04 22:31,L2
2026-03-23,landsat-9,3.72,LC09_L2SP_233085_20260323_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-03-16,landsat-9,41.16,LC09_L2SP_232085_20260316_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-03-08,landsat-8,37.11,LC08_L2SP_232085_20260308_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-03-07,landsat-9,13.91,LC09_L2SP_233085_20260307_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-28,landsat-9,32.2,LC09_L2SP_232085_20260228_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-27,landsat-8,68.33,LC08_L2SP_233085_20260227_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-20,landsat-8,44.08,LC08_L2SP_232085_20260220_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-19,landsat-9,0.34,LC09_L2SP_233085_20260219_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-12,landsat-9,20.97,LC09_L2SP_232085_20260212_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-11,landsat-8,34.97,LC08_L2SP_233085_20260211_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-04,landsat-8,25.81,LC08_L2SP_232085_20260204_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-03,landsat-9,76.29,LC09_L2SP_233085_20260203_02_T1,ok,ok,ok,2026-04-04 22:32,L2
2026-02-04,landsat-8,25.81,LC08_L2SP_232085_20260204_02_T1,ok,ok,ok,2026-04-05 05:43,L2
2026-04-08,landsat-9,39.37,LC09_L2SP_233085_20260408_02_T1,ok,ok,ok,2026-04-09 20:39,L2
2026-05-03,landsat-9,34.26,LC09_L2SP_232085_20260503_02_T1,ok,ok,ok,2026-05-05 11:09,L2
2026-04-25,landsat-8,2.02,LC08_L2SP_232085_20260425_02_T1,ok,ok,ok,2026-05-20 12:16,L2
2026-04-24,landsat-9,15.75,LC09_L2SP_233085_20260424_02_T1,ok,ok,ok,2026-05-20 12:16,L2
2026-05-19,LC09_L2SP_232085_20260519_20260520_02_T1,2,LC09_L2SP_232085_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 16:37,L2
2026-05-11,LC08_L2SP_232085_20260511_20260515_02_T1,2,LC08_L2SP_232085_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 16:38,L2
2026-05-10,LC09_L2SP_233084_20260510_20260511_02_T1,3,LC09_L2SP_233084_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:38,L2
2026-05-02,LC08_L2SP_233084_20260502_20260514_02_T1,8,LC08_L2SP_233084_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:38,L2
2026-05-26,LC09_L2SP_233084_20260526_20260527_02_T1,4,LC09_L2SP_233084_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:02,L2
2026-05-18,LC08_L2SP_233084_20260518_20260528_02_T1,4,LC08_L2SP_233084_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:45,L2
2026-05-27,LC08_L2SP_232085_20260527_20260604_02_T1,55,LC08_L2SP_232085_20260527_20260604_02_T1,ok,ok,ok,2026-06-05 09:04,L2
2026-06-04,LC09_L2SP_232085_20260604_20260605_02_T1,41,LC09_L2SP_232085_20260604_20260605_02_T1,ok,ok,ok,2026-06-07 20:58,L2
2026-06-11,LC09_L1TP_233085_20260611_20260611_02_T1,71,LC09_L1TP_233085_20260611_20260611_02_T1,ok,ok,ok,2026-06-12 19:02,L1
2026-06-03,LC08_L1GT_233085_20260603_20260603_02_RT,100,LC08_L1GT_233085_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 19:02,L1
