fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-25,landsat-9,42.89,LC09_L2SP_231092_20260325_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-03-24,landsat-8,80.26,LC08_L2SP_232092_20260324_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-03-16,landsat-9,99.39,LC09_L2SP_232092_20260316_02_T2,ok,ok,ok,2026-04-04 22:53,L2
2026-03-09,landsat-9,57.16,LC09_L2SP_231092_20260309_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-03-08,landsat-8,80.08,LC08_L2SP_232092_20260308_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-03-01,landsat-8,64.12,LC08_L2SP_231092_20260301_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-02-28,landsat-9,61.34,LC09_L2SP_232092_20260228_02_T2,ok,ok,ok,2026-04-04 22:53,L2
2026-02-21,landsat-9,2.43,LC09_L2SP_231092_20260221_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-02-20,landsat-8,47.02,LC08_L2SP_232092_20260220_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-02-13,landsat-8,3.05,LC08_L2SP_231092_20260213_02_T1,ok,ok,ok,2026-04-04 22:53,L2
2026-02-12,landsat-9,63.34,LC09_L2SP_232092_20260212_02_T1,ok,ok,ok,2026-04-04 22:54,L2
2026-02-05,landsat-9,34.98,LC09_L2SP_231092_20260205_02_T1,ok,ok,ok,2026-04-04 22:54,L2
2026-02-04,landsat-8,73.39,LC08_L2SP_232092_20260204_02_T1,ok,ok,ok,2026-04-04 22:54,L2
2026-02-04,landsat-8,73.39,LC08_L2SP_232092_20260204_02_T1,ok,ok,ok,2026-04-05 05:45,L2
2026-04-10,landsat-9,69.54,LC09_L2SP_231092_20260410_02_T1,ok,ok,ok,2026-04-12 10:29,L2
2026-04-26,landsat-9,6.25,LC09_L2SP_231092_20260426_02_T1,ok,ok,ok,2026-04-28 20:56,L2
2026-04-25,Landsat 8,67.59,LC08_L1GT_232092_20260425_20260426_02_T2,ok,ok,ok,2026-05-22 12:15,L1
2026-05-19,LC09_L2SP_232092_20260519_20260520_02_T1,14,LC09_L2SP_232092_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 17:01,L2
2026-05-12,LC09_L2SP_231092_20260512_20260513_02_T1,2,LC09_L2SP_231092_20260512_20260513_02_T1,ok,ok,ok,2026-05-26 17:01,L2
2026-05-11,LC08_L2SP_232092_20260511_20260515_02_T1,79,LC08_L2SP_232092_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 17:01,L2
2026-05-04,LC08_L2SP_231092_20260504_20260514_02_T1,60,LC08_L2SP_231092_20260504_20260514_02_T1,ok,ok,ok,2026-05-26 17:01,L2
2026-05-03,LC09_L2SP_232092_20260503_20260504_02_T2,81,LC09_L2SP_232092_20260503_20260504_02_T2,ok,ok,ok,2026-05-26 17:02,L2
2026-05-28,LC09_L2SP_231092_20260528_20260530_02_T1,91,LC09_L2SP_231092_20260528_20260530_02_T1,ok,ok,ok,2026-05-30 20:43,L2
