fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-23,landsat-9,0.74,LC09_L2SP_233076_20260323_02_T1,ok,ok,ok,2026-04-04 18:32,L2
2026-03-07,landsat-9,0.39,LC09_L2SP_233076_20260307_02_T1,ok,ok,ok,2026-04-04 18:32,L2
2026-02-27,landsat-8,2.35,LC08_L2SP_233076_20260227_02_T1,ok,ok,ok,2026-04-04 18:32,L2
2026-02-19,landsat-9,2.14,LC09_L2SP_233076_20260219_02_T1,ok,ok,ok,2026-04-04 18:32,L2
2026-02-11,landsat-8,0.25,LC08_L2SP_233076_20260211_02_T1,ok,ok,ok,2026-04-04 18:32,L2
2026-02-03,landsat-9,4.94,LC09_L2SP_233076_20260203_02_T1,ok,ok,ok,2026-04-04 18:33,L2
2026-02-03,landsat-9,4.94,LC09_L2SP_233076_20260203_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-04-08,landsat-9,0.4,LC09_L2SP_233076_20260408_02_T1,ok,ok,ok,2026-04-09 20:39,L2
2026-04-24,landsat-9,0.55,LC09_L2SP_233076_20260424_02_T1,ok,ok,ok,2026-05-20 12:16,L2
2026-05-10,LC09_L2SP_233076_20260510_20260511_02_T1,1,LC09_L2SP_233076_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:33,L2
2026-05-02,LC08_L2SP_233076_20260502_20260514_02_T1,1,LC08_L2SP_233076_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:33,L2
2026-05-26,LC09_L2SP_233076_20260526_20260527_02_T1,1,LC09_L2SP_233076_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:01,L2
2026-05-18,LC08_L2SP_233076_20260518_20260528_02_T1,1,LC08_L2SP_233076_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:42,L2
2026-06-11,LC09_L1TP_233076_20260611_20260611_02_T1,6,LC09_L1TP_233076_20260611_20260611_02_T1,ok,ok,ok,2026-06-12 13:26,L1
2026-06-03,LC08_L1TP_233076_20260603_20260603_02_RT,1,LC08_L1TP_233076_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 13:27,L1
2026-06-11,LC09_L1TP_233076_20260611_20260611_02_T1,6,LC09_L1TP_233076_20260611_20260611_02_T1,ok,ok,ok,2026-06-12 13:51,L1
2026-06-03,LC08_L1TP_233076_20260603_20260603_02_RT,1,LC08_L1TP_233076_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 13:52,L1
2026-06-03,LC08_L2SP_233076_20260603_20260612_02_T1,1,LC08_L2SP_233076_20260603_20260612_02_T1,ok,ok,ok,2026-06-13 13:23,L2
2026-06-11,LC09_L2SP_233076_20260611_20260613_02_T1,6,LC09_L2SP_233076_20260611_20260613_02_T1,ok,ok,ok,2026-06-13 23:07,L2
2026-06-19,LC08_L1TP_233076_20260619_20260619_02_RT,3,LC08_L1TP_233076_20260619_20260619_02_RT,ok,ok,ok,2026-06-20 09:58,L1
2026-06-27,LC09_L1TP_233076_20260627_20260627_02_T1,3,LC09_L1TP_233076_20260627_20260627_02_T1,ok,ok,ok,2026-06-28 16:57,L1
2026-06-19,LC08_L2SP_233076_20260619_20260627_02_T1,3,LC08_L2SP_233076_20260619_20260627_02_T1,ok,ok,ok,2026-06-28 21:54,L2
2026-06-27,LC09_L2SP_233076_20260627_20260628_02_T1,3,LC09_L2SP_233076_20260627_20260628_02_T1,ok,ok,ok,2026-06-28 23:59,L2
2026-07-05,LC08_L1TP_233076_20260705_20260705_02_RT,19,LC08_L1TP_233076_20260705_20260705_02_RT,ok,ok,ok,2026-07-06 11:21,L1
2026-07-13,LC09_L1TP_233076_20260713_20260713_02_T1,2,LC09_L1TP_233076_20260713_20260713_02_T1,ok,ok,ok,2026-07-14 07:03,L1
2026-07-13,LC09_L2SP_233076_20260713_20260714_02_T1,2,LC09_L2SP_233076_20260713_20260714_02_T1,ok,ok,ok,2026-07-14 13:02,L2
