fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-24,landsat-8,72.81,LC08_L2SP_232087_20260324_02_T1,ok,ok,ok,2026-04-04 22:38
2026-03-23,landsat-9,58.83,LC09_L2SP_233087_20260323_02_T1,ok,ok,ok,2026-04-04 22:38
2026-03-16,landsat-9,57.66,LC09_L2SP_232087_20260316_02_T1,ok,ok,ok,2026-04-04 22:38
2026-03-08,landsat-8,1.5,LC08_L2SP_232087_20260308_02_T1,ok,ok,ok,2026-04-04 22:39
2026-03-07,landsat-9,28.7,LC09_L2SP_233087_20260307_02_T1,ok,ok,ok,2026-04-04 22:39
2026-02-28,landsat-9,89.92,LC09_L2SP_232087_20260228_02_T1,ok,ok,ok,2026-04-04 22:39
2026-02-27,landsat-8,67.2,LC08_L2SP_233087_20260227_02_T1,ok,ok,ok,2026-04-04 22:39
2026-02-20,landsat-8,38.71,LC08_L2SP_232087_20260220_02_T1,ok,ok,ok,2026-04-04 22:39
2026-02-19,landsat-9,0.16,LC09_L2SP_233087_20260219_02_T1,ok,ok,ok,2026-04-04 22:39
2026-02-12,landsat-9,1.95,LC09_L2SP_232087_20260212_02_T1,ok,ok,ok,2026-04-04 22:39
2026-02-11,landsat-8,77.55,LC08_L2SP_233087_20260211_02_T1,ok,ok,ok,2026-04-04 22:39
2026-02-04,landsat-8,99.9,LC08_L2SP_232087_20260204_02_T2,ok,ok,ok,2026-04-04 22:39
2026-02-03,landsat-9,97.61,LC09_L2SP_233087_20260203_02_T2,ok,ok,ok,2026-04-04 22:39
2026-02-04,landsat-8,99.9,LC08_L2SP_232087_20260204_02_T2,ok,ok,ok,2026-04-05 05:43
2026-04-08,landsat-9,35.9,LC09_L2SP_233087_20260408_02_T1,ok,ok,ok,2026-04-09 20:40
