fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-24,landsat-8,43.75,LC08_L2SP_232088_20260324_02_T1,ok,ok,ok,2026-04-04 22:43
2026-03-23,landsat-9,82.41,LC09_L2SP_233088_20260323_02_T2,ok,ok,ok,2026-04-04 22:43
2026-03-16,landsat-9,88.6,LC09_L2SP_232088_20260316_02_T1,ok,ok,ok,2026-04-04 22:43
2026-03-08,landsat-8,1.81,LC08_L2SP_232088_20260308_02_T1,ok,ok,ok,2026-04-04 22:43
2026-03-07,landsat-9,81.95,LC09_L2SP_233088_20260307_02_T1,ok,ok,ok,2026-04-04 22:43
2026-02-28,landsat-9,87.7,LC09_L2SP_232088_20260228_02_T1,ok,ok,ok,2026-04-04 22:43
2026-02-27,landsat-8,83.24,LC08_L2SP_233088_20260227_02_T2,ok,ok,ok,2026-04-04 22:43
2026-02-20,landsat-8,2.25,LC08_L2SP_232088_20260220_02_T1,ok,ok,ok,2026-04-04 22:43
2026-02-19,landsat-9,1.28,LC09_L2SP_233088_20260219_02_T1,ok,ok,ok,2026-04-04 22:43
2026-02-12,landsat-9,16.87,LC09_L2SP_232088_20260212_02_T1,ok,ok,ok,2026-04-04 22:43
2026-02-11,landsat-8,95.94,LC08_L2SP_233088_20260211_02_T2,ok,ok,ok,2026-04-04 22:43
2026-02-04,landsat-8,97.81,LC08_L2SP_232088_20260204_02_T2,ok,ok,ok,2026-04-04 22:43
2026-02-03,landsat-9,96.57,LC09_L2SP_233088_20260203_02_T2,ok,ok,ok,2026-04-04 22:43
2026-02-04,landsat-8,97.81,LC08_L2SP_232088_20260204_02_T2,ok,ok,ok,2026-04-05 05:44
2026-04-08,landsat-9,39.32,LC09_L2SP_233088_20260408_02_T1,ok,ok,ok,2026-04-09 20:40
