fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-24,landsat-8,5.42,LC08_L2SP_232084_20260324_02_T1,ok,ok,ok,2026-04-04 22:29
2026-03-23,landsat-9,5.54,LC09_L2SP_233083_20260323_02_T1,ok,ok,ok,2026-04-04 22:29
2026-03-16,landsat-9,65.89,LC09_L2SP_232084_20260316_02_T1,ok,ok,ok,2026-04-04 22:29
2026-03-08,landsat-8,72.96,LC08_L2SP_232084_20260308_02_T1,ok,ok,ok,2026-04-04 22:29
2026-03-07,landsat-9,38.11,LC09_L2SP_233083_20260307_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-28,landsat-9,16.4,LC09_L2SP_232084_20260228_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-27,landsat-8,24.43,LC08_L2SP_233083_20260227_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-20,landsat-8,52.23,LC08_L2SP_232084_20260220_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-19,landsat-9,0.97,LC09_L2SP_233083_20260219_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-12,landsat-9,8.17,LC09_L2SP_232084_20260212_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-11,landsat-8,0.29,LC08_L2SP_233083_20260211_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-04,landsat-8,38.56,LC08_L2SP_232084_20260204_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-03,landsat-9,17.66,LC09_L2SP_233083_20260203_02_T1,ok,ok,ok,2026-04-04 22:29
2026-02-04,landsat-8,38.56,LC08_L2SP_232084_20260204_02_T1,ok,ok,ok,2026-04-05 05:43
2026-04-08,landsat-9,8.38,LC09_L2SP_233083_20260408_02_T1,ok,ok,ok,2026-04-09 20:39
