fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-23,landsat-9,2.91,LC09_L2SP_233075_20260323_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-03-14,landsat-9,0.32,LC09_L2SP_001075_20260314_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-03-07,landsat-9,1.57,LC09_L2SP_233075_20260307_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-02-27,landsat-8,0.73,LC08_L2SP_233075_20260227_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-02-19,landsat-9,0.83,LC09_L2SP_233075_20260219_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-02-11,landsat-8,0.28,LC08_L2SP_233075_20260211_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-02-03,landsat-9,1.32,LC09_L2SP_233075_20260203_02_T1,ok,ok,ok,2026-04-04 22:27,L2
2026-04-08,landsat-9,0.53,LC09_L2SP_233075_20260408_02_T1,ok,ok,ok,2026-04-09 20:39,L2
2026-04-24,landsat-9,1.58,LC09_L2SP_233075_20260424_02_T1,ok,ok,ok,2026-05-20 12:15,L2
2026-05-17,LC09_L2SP_001075_20260517_20260518_02_T1,2,LC09_L2SP_001075_20260517_20260518_02_T1,ok,ok,ok,2026-05-26 16:32,L2
2026-05-10,LC09_L2SP_233075_20260510_20260511_02_T1,3,LC09_L2SP_233075_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:32,L2
2026-05-09,LC08_L2SP_001075_20260509_20260515_02_T1,0,LC08_L2SP_001075_20260509_20260515_02_T1,ok,ok,ok,2026-05-26 16:32,L2
2026-05-02,LC08_L2SP_233075_20260502_20260514_02_T1,3,LC08_L2SP_233075_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:33,L2
2026-05-26,LC09_L2SP_233075_20260526_20260527_02_T1,2,LC09_L2SP_233075_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:01,L2
2026-05-18,LC08_L2SP_233075_20260518_20260528_02_T1,2,LC08_L2SP_233075_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:41,L2
2026-06-02,LC09_L2SP_001075_20260602_20260603_02_T1,5,LC09_L2SP_001075_20260602_20260603_02_T1,ok,ok,ok,2026-06-05 09:03,L2
2026-05-25,LC08_L2SP_001075_20260525_20260603_02_T1,2,LC08_L2SP_001075_20260525_20260603_02_T1,ok,ok,ok,2026-06-05 09:03,L2
2026-06-11,LC09_L1TP_233075_20260611_20260611_02_T1,2,LC09_L1TP_233075_20260611_20260611_02_T1,ok,ok,ok,2026-06-12 18:59,L1
2026-06-03,LC08_L1TP_233075_20260603_20260603_02_RT,3,LC08_L1TP_233075_20260603_20260603_02_RT,ok,ok,ok,2026-06-12 18:59,L1
2026-06-03,LC08_L2SP_233075_20260603_20260612_02_T1,3,LC08_L2SP_233075_20260603_20260612_02_T1,ok,ok,ok,2026-06-13 13:21,L2
2026-06-11,LC09_L2SP_233075_20260611_20260613_02_T1,2,LC09_L2SP_233075_20260611_20260613_02_T1,ok,ok,ok,2026-06-13 23:06,L2
2026-06-19,LC08_L1TP_233075_20260619_20260619_02_RT,1,LC08_L1TP_233075_20260619_20260619_02_RT,ok,ok,ok,2026-06-20 09:57,L1
2026-06-27,LC09_L1TP_233075_20260627_20260627_02_T1,3,LC09_L1TP_233075_20260627_20260627_02_T1,ok,ok,ok,2026-06-28 16:56,L1
2026-06-19,LC08_L2SP_233075_20260619_20260627_02_T1,1,LC08_L2SP_233075_20260619_20260627_02_T1,ok,ok,ok,2026-06-28 21:53,L2
2026-06-27,LC09_L2SP_233075_20260627_20260628_02_T1,3,LC09_L2SP_233075_20260627_20260628_02_T1,ok,ok,ok,2026-06-28 23:58,L2
2026-07-05,LC08_L1TP_233075_20260705_20260705_02_RT,6,LC08_L1TP_233075_20260705_20260705_02_RT,ok,ok,ok,2026-07-06 11:21,L1
2026-07-13,LC09_L1TP_233075_20260713_20260713_02_T1,3,LC09_L1TP_233075_20260713_20260713_02_T1,ok,ok,ok,2026-07-14 07:02,L1
2026-07-13,LC09_L2SP_233075_20260713_20260714_02_T1,3,LC09_L2SP_233075_20260713_20260714_02_T1,ok,ok,ok,2026-07-14 13:01,L2
2026-07-05,LC08_L2SP_233075_20260705_20260716_02_T1,6,LC08_L2SP_233075_20260705_20260716_02_T1,ok,ok,ok,2026-07-17 20:45,L2
2026-07-21,LC08_L1TP_233075_20260721_20260721_02_RT,20,LC08_L1TP_233075_20260721_20260721_02_RT,ok,ok,ok,2026-07-22 07:29,L1
2026-07-21,LC08_L2SP_233075_20260721_20260725_02_T1,20,LC08_L2SP_233075_20260721_20260725_02_T1,ok,ok,ok,2026-07-26 12:52,L2
2026-07-29,LC09_L1TP_233075_20260729_20260729_02_T1,3,LC09_L1TP_233075_20260729_20260729_02_T1,ok,ok,ok,2026-07-30 07:26,L1
2026-07-29,LC09_L2SP_233075_20260729_20260730_02_T1,3,LC09_L2SP_233075_20260729_20260730_02_T1,ok,ok,ok,2026-07-30 15:00,L2
2026-08-06,LC08_L1TP_233075_20260806_20260806_02_RT,3,LC08_L1TP_233075_20260806_20260806_02_RT,ok,ok,ok,2026-08-06 22:41,L1
2026-08-06,LC08_L2SP_233075_20260806_20260812_02_T1,3,LC08_L2SP_233075_20260806_20260812_02_T1,ok,ok,ok,2026-08-13 10:01,L2
2026-08-14,LC09_L1TP_233075_20260814_20260814_02_T1,2,LC09_L1TP_233075_20260814_20260814_02_T1,ok,ok,ok,2026-08-14 22:11,L1
2026-08-14,LC09_L2SP_233075_20260814_20260815_02_T1,2,LC09_L2SP_233075_20260814_20260815_02_T1,ok,ok,ok,2026-08-15 17:11,L2
2026-08-22,LC08_L1TP_233075_20260822_20260822_02_RT,4,LC08_L1TP_233075_20260822_20260822_02_RT,ok,ok,ok,2026-08-23 07:24,L1
2026-08-30,LC09_L1TP_233075_20260830_20260830_02_T1,3,LC09_L1TP_233075_20260830_20260830_02_T1,ok,ok,ok,2026-08-30 21:42,L1
2026-08-30,LC09_L2SP_233075_20260830_20260831_02_T1,3,LC09_L2SP_233075_20260830_20260831_02_T1,ok,ok,ok,2026-08-31 16:35,L2
