fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-21,landsat-9,0.15,LC09_L2SP_002073_20260321_02_T1,ok,ok,ok,2026-04-04 22:23,L2
2026-03-05,landsat-9,0.06,LC09_L2SP_002073_20260305_02_T1,ok,ok,ok,2026-04-04 22:23,L2
2026-02-25,landsat-8,7.49,LC08_L2SP_002073_20260225_02_T1,ok,ok,ok,2026-04-04 22:24,L2
2026-02-17,landsat-9,43.85,LC09_L2SP_002073_20260217_02_T1,ok,ok,ok,2026-04-04 22:24,L2
2026-02-09,landsat-8,6.23,LC08_L2SP_002073_20260209_02_T1,ok,ok,ok,2026-04-04 22:24,L2
2026-04-06,landsat-9,49.38,LC09_L2SP_002073_20260406_02_T1,ok,ok,ok,2026-04-08 10:49,L2
2026-05-08,landsat-9,56.19,LC09_L2SP_002073_20260508_02_T1,ok,ok,ok,2026-05-10 10:53,L2
2026-04-30,landsat-8,48.0,LC08_L2SP_002073_20260430_02_T1,ok,ok,ok,2026-05-20 12:15,L2
2026-04-22,landsat-9,11.51,LC09_L2SP_002073_20260422_02_T1,ok,ok,ok,2026-05-20 12:15,L2
2026-05-24,LC09_L2SP_002072_20260524_20260525_02_T1,55,LC09_L2SP_002072_20260524_20260525_02_T1,ok,ok,ok,2026-05-26 16:27,L2
2026-05-16,LC08_L2SP_002072_20260516_20260521_02_T1,3,LC08_L2SP_002072_20260516_20260521_02_T1,ok,ok,ok,2026-05-26 16:27,L2
2026-05-01,LC09_L2SP_001073_20260501_20260502_02_T1,5,LC09_L2SP_001073_20260501_20260502_02_T1,ok,ok,ok,2026-05-26 16:27,L2
2026-06-09,LC09_L2SP_002072_20260609_20260610_02_T1,67,LC09_L2SP_002072_20260609_20260610_02_T1,ok,ok,ok,2026-06-10 22:46,L2
2026-06-01,LC08_L2SP_002073_20260601_20260612_02_T1,45,LC08_L2SP_002073_20260601_20260612_02_T1,ok,ok,ok,2026-06-12 18:57,L2
2026-06-17,LC08_L1TP_002073_20260617_20260617_02_RT,57,LC08_L1TP_002073_20260617_20260617_02_RT,ok,ok,ok,2026-06-17 21:51,L1
2026-06-25,LC09_L2SP_002073_20260625_20260626_02_T1,34,LC09_L2SP_002073_20260625_20260626_02_T1,ok,ok,ok,2026-06-27 19:05,L2
2026-06-17,LC08_L2SP_002073_20260617_20260627_02_T1,57,LC08_L2SP_002073_20260617_20260627_02_T1,ok,ok,ok,2026-06-28 23:58,L2
2026-07-03,LC08_L1TP_002073_20260703_20260703_02_RT,50,LC08_L1TP_002073_20260703_20260703_02_RT,ok,ok,ok,2026-07-03 20:10,L1
2026-07-11,LC09_L2SP_002073_20260711_20260712_02_T1,41,LC09_L2SP_002073_20260711_20260712_02_T1,ok,ok,ok,2026-07-12 18:44,L2
2026-07-03,LC08_L2SP_002073_20260703_20260716_02_T1,50,LC08_L2SP_002073_20260703_20260716_02_T1,ok,ok,ok,2026-07-17 22:38,L2
2026-07-19,LC08_L1TP_002073_20260719_20260719_02_RT,37,LC08_L1TP_002073_20260719_20260719_02_RT,ok,ok,ok,2026-07-20 19:21,L1
2026-07-19,LC08_L2SP_002073_20260719_20260725_02_T1,37,LC08_L2SP_002073_20260719_20260725_02_T1,ok,ok,ok,2026-07-26 12:51,L2
2026-07-27,LC09_L1TP_002073_20260727_20260727_02_T1,53,LC09_L1TP_002073_20260727_20260727_02_T1,ok,ok,ok,2026-07-27 22:00,L1
2026-07-27,LC09_L2SP_002073_20260727_20260728_02_T1,53,LC09_L2SP_002073_20260727_20260728_02_T1,ok,ok,ok,2026-07-28 17:18,L2
2026-08-04,LC08_L1TP_002073_20260804_20260804_02_RT,52,LC08_L1TP_002073_20260804_20260804_02_RT,ok,ok,ok,2026-08-05 15:07,L1
2026-08-12,LC09_L1TP_002073_20260812_20260812_02_T1,47,LC09_L1TP_002073_20260812_20260812_02_T1,ok,ok,ok,2026-08-13 09:59,L1
2026-08-04,LC08_L2SP_002073_20260804_20260812_02_T1,52,LC08_L2SP_002073_20260804_20260812_02_T1,ok,ok,ok,2026-08-13 16:42,L2
2026-08-12,LC09_L2SP_002073_20260812_20260813_02_T1,47,LC09_L2SP_002073_20260812_20260813_02_T1,ok,ok,ok,2026-08-14 07:03,L2
2026-08-20,LC08_L1TP_002073_20260820_20260820_02_RT,10,LC08_L1TP_002073_20260820_20260820_02_RT,ok,ok,ok,2026-08-20 20:15,L1
2026-08-20,LC08_L2SP_002073_20260820_20260824_02_T1,10,LC08_L2SP_002073_20260820_20260824_02_T1,ok,ok,ok,2026-08-25 19:24,L2
2026-08-28,LC09_L1TP_002073_20260828_20260828_02_T1,51,LC09_L1TP_002073_20260828_20260828_02_T1,ok,ok,ok,2026-08-29 02:30,L1
2026-08-28,LC09_L2SP_002073_20260828_20260829_02_T1,51,LC09_L2SP_002073_20260828_20260829_02_T1,ok,ok,ok,2026-08-29 15:21,L2
2026-09-05,LC08_L1TP_002073_20260905_20260905_02_RT,36,LC08_L1TP_002073_20260905_20260905_02_RT,ok,ok,ok,2026-09-05 20:47,L1
