fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado,nivel
2026-03-24,landsat-8,5.42,LC08_L2SP_232084_20260324_02_T1,ok,ok,ok,2026-04-04 22:29,L2
2026-03-23,landsat-9,8.53,LC09_L2SP_233084_20260323_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-03-16,landsat-9,65.89,LC09_L2SP_232084_20260316_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-03-08,landsat-8,72.96,LC08_L2SP_232084_20260308_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-03-07,landsat-9,25.51,LC09_L2SP_233084_20260307_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-28,landsat-9,16.4,LC09_L2SP_232084_20260228_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-27,landsat-8,44.47,LC08_L2SP_233084_20260227_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-20,landsat-8,52.23,LC08_L2SP_232084_20260220_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-19,landsat-9,0.34,LC09_L2SP_233084_20260219_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-12,landsat-9,8.17,LC09_L2SP_232084_20260212_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-11,landsat-8,3.71,LC08_L2SP_233084_20260211_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-04,landsat-8,38.56,LC08_L2SP_232084_20260204_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-03,landsat-9,51.29,LC09_L2SP_233084_20260203_02_T1,ok,ok,ok,2026-04-04 22:30,L2
2026-02-04,landsat-8,38.56,LC08_L2SP_232084_20260204_02_T1,ok,ok,ok,2026-04-05 05:43,L2
2026-04-08,landsat-9,12.78,LC09_L2SP_233084_20260408_02_T1,ok,ok,ok,2026-04-09 20:39,L2
2026-04-24,landsat-9,11.85,LC09_L2SP_233084_20260424_02_T1,ok,ok,ok,2026-05-20 12:16,L2
2026-04-25,Landsat 8,13.71,LC08_L1TP_232084_20260425_20260426_02_T1,ok,ok,ok,2026-05-22 12:12,L1
2026-05-19,LC09_L2SP_232084_20260519_20260520_02_T1,2,LC09_L2SP_232084_20260519_20260520_02_T1,ok,ok,ok,2026-05-26 16:36,L2
2026-05-11,LC08_L2SP_232084_20260511_20260515_02_T1,4,LC08_L2SP_232084_20260511_20260515_02_T1,ok,ok,ok,2026-05-26 16:36,L2
2026-05-10,LC09_L2SP_233084_20260510_20260511_02_T1,3,LC09_L2SP_233084_20260510_20260511_02_T1,ok,ok,ok,2026-05-26 16:36,L2
2026-05-03,LC09_L2SP_232084_20260503_20260504_02_T1,17,LC09_L2SP_232084_20260503_20260504_02_T1,ok,ok,ok,2026-05-26 16:36,L2
2026-05-02,LC08_L2SP_233084_20260502_20260514_02_T1,8,LC08_L2SP_233084_20260502_20260514_02_T1,ok,ok,ok,2026-05-26 16:37,L2
2026-05-26,LC09_L2SP_233084_20260526_20260527_02_T1,4,LC09_L2SP_233084_20260526_20260527_02_T1,ok,ok,ok,2026-05-28 13:02,L2
2026-05-18,LC08_L2SP_233084_20260518_20260528_02_T1,4,LC08_L2SP_233084_20260518_20260528_02_T1,ok,ok,ok,2026-05-29 12:45,L2
2026-05-27,LC08_L2SP_232084_20260527_20260604_02_T1,48,LC08_L2SP_232084_20260527_20260604_02_T1,ok,ok,ok,2026-06-05 09:04,L2
2026-06-04,LC09_L2SP_232084_20260604_20260605_02_T1,59,LC09_L2SP_232084_20260604_20260605_02_T1,ok,ok,ok,2026-06-05 21:15,L2
2026-06-11,LC09_L1TP_233084_20260611_20260611_02_T1,34,LC09_L1TP_233084_20260611_20260611_02_T1,ok,ok,ok,2026-06-12 19:01,L1
