fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-24,landsat-8,4.11,LC08_L2SP_232083_20260324_02_T1,ok,ok,ok,2026-04-04 22:27
2026-03-23,landsat-9,5.54,LC09_L2SP_233083_20260323_02_T1,ok,ok,ok,2026-04-04 22:27
2026-03-16,landsat-9,32.48,LC09_L2SP_232083_20260316_02_T1,ok,ok,ok,2026-04-04 22:27
2026-03-08,landsat-8,57.75,LC08_L2SP_232083_20260308_02_T1,ok,ok,ok,2026-04-04 22:28
2026-03-07,landsat-9,38.11,LC09_L2SP_233083_20260307_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-28,landsat-9,7.04,LC09_L2SP_232083_20260228_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-27,landsat-8,24.43,LC08_L2SP_233083_20260227_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-20,landsat-8,60.88,LC08_L2SP_232083_20260220_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-19,landsat-9,0.97,LC09_L2SP_233083_20260219_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-12,landsat-9,9.99,LC09_L2SP_232083_20260212_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-11,landsat-8,0.29,LC08_L2SP_233083_20260211_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-04,landsat-8,20.46,LC08_L2SP_232083_20260204_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-03,landsat-9,17.66,LC09_L2SP_233083_20260203_02_T1,ok,ok,ok,2026-04-04 22:28
2026-02-04,landsat-8,20.46,LC08_L2SP_232083_20260204_02_T1,ok,ok,ok,2026-04-05 05:42
2026-04-08,landsat-9,8.38,LC09_L2SP_233083_20260408_02_T1,ok,ok,ok,2026-04-09 20:39
